R;G;B
182;190;160
186;194;164
193;200;169
192;200;168
190;197;166
187;195;164
188;195;164
179;185;158
179;185;157
182;189;160
183;190;161
187;194;163
189;195;165
188;195;165
185;193;163
185;192;162
185;191;162
185;192;163
192;199;168
190;197;166
186;193;163
183;189;161
180;186;158
176;182;155
178;184;156
189;196;166
189;196;166
188;195;165
188;196;165
194;201;170
196;204;171
200;208;174
192;200;168
190;198;166
183;191;161
183;190;161
183;190;161
184;192;162
187;194;164
191;199;168
189;197;165
189;197;166
187;195;165
186;194;164
185;192;161
185;192;162
187;194;164
186;193;164
188;195;165
189;196;166
188;196;165
187;195;164
187;194;164
187;193;163
187;194;164
190;197;165
191;197;167
191;197;166
192;199;167
193;200;168
188;196;164
188;196;164
189;196;165
186;192;162
185;191;161
185;191;161
190;196;166
191;197;167
188;196;165
188;195;164
186;192;162
192;199;167
194;201;169
200;206;172
204;210;177
193;199;167
191;196;165
189;193;162
190;195;164
189;195;162
188;193;162
187;193;161
190;195;162
190;196;163
191;198;164
195;200;167
198;202;169
197;201;170
195;199;167
193;198;166
191;196;164
191;196;164
189;194;162
184;189;159
183;189;158
184;188;159
180;184;155
177;182;153
180;185;155
185;191;160
182;188;157
184;189;159
189;196;164
190;196;164
191;196;165
190;196;164
188;193;162
185;191;160
185;190;160
185;190;160
180;186;156
177;182;154
179;183;155
179;185;155
180;186;156
183;189;159
182;188;158
185;190;160
185;190;160
185;190;160
187;192;162
186;191;160
186;191;161
185;190;160
183;187;158
183;187;158
182;187;158
180;186;156
180;185;156
181;186;157
184;188;159
185;189;160
187;191;162
184;189;160
184;189;160
183;188;159
185;190;159
184;190;159
184;190;158
185;190;160
185;190;160
185;189;160
189;194;163
189;194;163
189;193;162
186;192;161
184;189;159
184;189;159
186;190;161
186;191;161
186;191;161
186;192;162
187;192;162
191;197;166
193;199;167
192;198;166
188;195;163
181;186;158
181;186;158
179;184;156
180;186;156
180;185;156
181;187;157
186;191;161
186;192;162
187;194;163
192;198;166
193;198;166
193;199;167
193;199;167
191;198;166
190;197;165
189;195;163
194;200;168
194;200;168
194;200;168
194;200;167
189;195;163
182;188;158
180;185;156
180;186;156
180;186;156
182;187;158
186;192;161
185;191;160
184;190;159
185;191;161
187;193;163
189;195;165
186;193;162
185;192;161
186;192;161
186;192;161
183;188;159
181;187;158
179;185;157
178;183;155
177;182;155
178;183;155
182;187;158
182;188;158
182;188;158
178;183;155
179;185;156
180;185;157
188;195;164
192;199;167
192;199;168
185;192;162
183;190;160
183;189;159
181;186;158
179;184;156
180;185;157
181;186;158
181;187;158
185;191;162
184;190;161
183;189;160
183;189;160
184;190;160
187;194;163
188;195;164
190;197;165
193;200;168
187;193;163
185;192;162
182;189;160
178;185;156
180;185;157
181;187;158
183;189;160
182;189;159
182;189;159
182;189;159
172;179;152
174;179;153
173;179;152
184;191;162
183;191;161
181;189;160
179;185;157
184;191;161
185;191;162
187;195;164
187;195;164
186;195;163
186;193;162
185;192;161
184;190;160
184;190;161
188;193;163
188;194;164
188;194;163
184;190;160
184;189;159
185;190;161
185;191;161
190;196;165
190;197;165
187;194;161
188;195;163
188;194;163
187;194;163
191;197;165
190;196;164
190;196;164
184;191;160
184;190;160
184;190;160
187;194;163
188;196;164
189;196;164
188;195;163
182;189;159
180;186;157
179;186;156
180;187;157
182;188;158
183;189;159
186;193;163
180;186;157
174;180;153
172;178;151
170;176;150
172;178;151
173;180;152
178;184;156
180;186;158
181;188;158
183;190;160
181;187;158
183;190;160
184;191;162
185;191;162
185;192;162
185;192;162
186;194;164
188;196;165
189;197;165
190;198;166
192;199;167
191;199;167
189;196;165
184;191;160
184;191;160
181;188;158
178;184;156
177;182;154
176;181;155
176;181;155
180;186;157
181;187;158
181;188;158
184;190;160
187;193;163
187;193;163
189;196;165
191;197;166
195;200;169
194;200;168
193;200;168
193;200;168
194;200;169
186;193;162
186;193;162
186;193;162
187;194;163
187;193;163
183;188;160
183;188;159
183;188;159
183;189;160
191;198;167
190;197;166
190;196;166
189;196;165
190;197;166
190;197;165
190;197;165
191;198;166
191;198;166
188;194;163
184;190;160
184;190;160
184;190;161
185;190;161
190;196;164
190;196;165
189;194;163
188;194;162
186;192;161
187;192;162
189;194;164
191;196;165
192;197;166
194;200;167
193;199;167
193;199;167
193;199;166
193;199;166
189;194;164
189;194;164
190;195;165
191;196;165
191;196;165
189;196;163
189;195;163
190;196;164
186;192;162
185;191;161
185;191;162
185;191;162
185;191;161
187;193;162
185;192;161
186;192;161
188;194;163
190;196;165
190;197;165
190;196;166
189;195;165
188;194;163
189;195;164
189;196;165
187;193;162
187;193;162
187;193;163
186;193;162
184;191;160
181;187;159
180;186;158
181;187;158
178;183;155
176;181;154
176;181;154
177;182;154
180;185;157
183;189;160
187;193;163
189;196;165
190;197;166
181;187;159
179;185;158
175;181;153
176;182;154
177;183;154
178;183;155
181;186;158
180;187;157
180;187;157
181;187;158
181;187;158
180;185;157
179;184;156
178;184;155
178;182;154
180;184;156
180;185;156
182;187;158
183;188;159
183;188;159
183;188;160
183;189;160
183;190;160
185;192;161
187;194;162
188;194;162
188;194;162
184;190;160
184;190;160
181;187;157
181;187;157
179;184;156
179;184;156
179;184;156
179;183;156
178;182;155
177;182;155
176;181;153
175;181;153
175;180;153
176;180;153
175;180;153
176;181;154
176;181;154
176;181;154
176;181;153
175;181;153
176;182;153
176;182;153
176;181;153
176;181;153
175;180;152
174;180;152
175;181;153
176;181;153
176;181;153
177;182;154
176;181;153
175;181;153
176;181;154
176;181;154
178;183;155
179;185;157
179;185;156
181;187;158
184;189;160
184;189;160
184;189;160
183;189;160
182;189;159
180;187;158
179;185;156
176;182;154
175;180;153
173;178;151
173;177;152
172;177;151
172;176;150
170;175;150
