R;G;B
171;113;54
170;112;53
171;114;55
166;110;52
170;113;55
174;116;55
174;116;56
172;114;54
173;115;55
174;116;56
171;114;54
170;113;53
172;114;54
171;113;54
164;110;52
163;108;52
159;105;51
162;107;52
167;110;53
166;110;53
171;114;54
169;113;53
167;111;52
165;110;52
165;110;51
170;114;53
167;112;52
168;111;53
171;115;55
171;114;53
173;116;55
171;112;53
167;112;52
164;109;51
164;108;52
158;104;51
157;104;50
165;110;52
167;111;53
164;108;52
162;107;52
161;107;51
164;108;52
170;112;55
169;112;54
169;112;53
163;107;52
162;107;52
165;110;52
164;109;51
166;111;53
173;115;54
173;115;54
167;111;53
166;110;52
165;110;52
168;111;54
170;112;54
173;114;54
171;114;53
167;111;53
167;111;53
167;112;53
169;113;54
170;113;54
170;113;55
174;116;55
167;111;52
166;111;52
167;110;52
171;114;54
173;115;54
174;115;55
174;115;55
173;116;55
168;111;52
168;111;52
166;110;52
167;110;52
167;110;52
168;112;54
168;112;53
168;112;52
168;111;53
168;112;53
169;112;53
167;111;53
165;110;52
164;109;51
162;108;51
166;111;52
167;111;53
169;112;53
169;112;54
169;112;54
168;112;53
165;110;52
166;110;53
165;109;52
163;109;52
162;107;51
162;108;52
160;107;51
160;107;51
167;111;54
167;111;53
168;112;53
166;110;52
167;112;53
167;111;52
164;109;52
164;109;52
163;109;52
164;109;53
164;109;53
165;109;54
164;109;52
165;110;52
166;110;52
163;109;52
162;108;51
162;108;52
162;108;51
161;107;50
161;107;50
161;108;52
162;107;51
163;108;52
169;113;53
169;113;53
169;112;52
170;113;54
171;114;54
171;113;54
166;110;52
165;110;52
165;110;52
161;106;50
162;107;52
162;108;52
161;107;51
162;108;52
163;109;52
167;111;52
167;111;52
168;112;53
165;109;53
164;108;52
163;108;52
163;109;52
161;107;51
162;108;53
162;107;52
163;108;52
162;107;52
163;107;51
163;107;52
162;107;51
163;108;52
163;108;52
163;107;52
162;107;51
162;107;51
164;109;52
170;114;53
170;113;53
169;112;53
168;111;53
167;111;53
166;110;53
165;110;52
165;110;52
165;110;52
165;110;53
166;110;53
166;110;53
166;109;53
168;112;52
169;112;54
169;112;54
165;109;53
164;109;52
164;108;52
160;107;50
161;107;51
161;108;50
163;108;52
161;106;51
159;106;51
159;105;50
158;105;51
158;105;51
158;105;51
159;105;51
163;109;51
165;111;52
165;111;51
162;107;52
160;105;51
155;104;50
154;103;49
154;103;49
160;106;52
160;106;52
161;106;52
161;106;52
161;108;52
160;107;52
159;105;51
155;102;50
154;103;49
154;103;49
155;102;50
157;105;50
158;106;50
160;107;52
161;107;52
161;107;52
161;107;52
161;107;52
160;107;51
160;107;52
160;106;52
156;103;50
153;102;50
153;102;50
154;102;50
155;103;50
156;104;50
156;104;50
157;105;50
158;106;50
160;107;51
162;108;52
161;108;51
161;108;51
157;105;50
157;105;50
158;105;50
156;104;50
155;104;50
156;105;51
154;103;50
156;103;50
157;105;51
158;104;51
158;105;51
161;106;51
161;106;50
162;107;51
162;108;51
161;108;50
160;108;51
160;108;51
161;108;51
160;107;52
160;107;52
159;106;50
160;107;51
160;107;51
160;107;51
161;108;51
161;108;51
162;108;51
163;109;52
163;108;52
161;108;51
161;108;51
161;108;51
162;109;51
165;110;52
165;110;52
165;110;53
165;111;53
161;107;50
162;109;51
160;106;51
159;105;50
159;106;50
159;106;50
159;107;51
161;107;52
161;108;51
163;109;52
165;110;52
172;115;54
173;115;55
173;115;55
167;112;53
166;111;52
167;111;53
165;110;52
166;111;53
167;111;54
168;111;54
167;111;53
168;111;53
169;111;54
168;111;52
169;111;53
170;113;54
170;113;54
172;114;55
171;114;54
170;114;53
167;111;52
167;111;53
166;110;52
166;110;52
167;111;53
169;112;53
170;114;54
171;115;54
165;110;51
165;110;51
165;110;52
165;110;52
165;110;52
166;110;53
166;110;53
166;110;53
165;110;52
161;107;51
162;107;51
161;107;51
161;107;51
156;104;50
156;104;50
