R;G;B
34;107;122
34;105;121
34;105;121
34;106;122
34;108;124
35;111;126
35;109;125
35;109;124
34;107;122
34;107;122
36;110;125
35;110;127
35;111;128
34;108;125
34;107;123
34;107;123
35;107;123
34;107;123
36;111;128
36;113;130
36;112;128
36;111;127
36;112;130
38;118;133
36;113;129
35;111;126
36;111;127
34;110;125
35;113;128
36;114;129
35;112;129
37;114;131
36;114;131
36;113;129
35;112;128
37;113;129
36;112;127
35;113;128
38;118;133
38;120;135
37;118;133
34;110;125
35;110;125
35;110;124
36;111;126
36;113;127
36;112;128
34;109;124
35;110;125
34;106;122
34;106;122
34;106;123
35;110;126
35;111;127
34;109;124
34;108;124
34;109;124
34;108;123
34;108;124
35;109;125
34;108;124
35;110;125
35;109;125
36;110;125
35;110;124
35;108;123
35;108;124
36;110;127
35;109;126
35;109;126
34;106;123
34;105;122
34;104;121
31;99;114
31;97;113
30;93;109
29;92;108
29;92;107
29;93;109
29;93;109
30;96;112
31;98;114
30;99;115
32;100;116
31;99;115
31;98;115
31;98;114
31;99;115
31;100;115
32;101;118
32;101;117
32;100;117
31;98;113
30;96;112
30;96;112
32;101;117
32;101;118
31;99;114
32;98;113
31;97;113
30;95;110
31;95;110
29;94;109
31;97;112
31;98;113
31;98;113
32;97;112
31;96;111
30;95;111
32;100;115
31;100;115
32;101;117
32;101;118
31;100;116
30;99;114
31;99;114
31;99;113
32;99;114
32;99;114
32;99;114
31;98;113
33;99;114
32;100;115
32;100;116
33;100;116
33;100;116
32;100;116
32;100;116
32;100;116
32;99;115
31;98;114
30;96;112
31;97;112
31;96;111
30;94;110
31;95;111
30;94;109
30;94;109
30;94;109
30;94;109
31;96;112
31;97;113
31;97;112
31;97;113
31;97;113
31;97;113
31;97;112
29;93;107
30;94;109
29;93;108
29;93;108
29;92;108
30;93;109
30;94;110
31;96;111
31;97;112
32;99;114
32;98;113
32;98;113
32;100;115
32;100;116
31;100;115
33;101;117
33;103;118
34;104;119
34;104;120
34;105;121
35;109;125
35;109;125
35;109;126
35;110;126
36;111;128
35;110;126
35;110;126
35;111;128
36;112;128
36;111;128
35;110;126
36;110;126
35;110;126
36;110;127
34;109;124
36;111;126
36;112;126
36;114;129
36;113;128
36;113;128
37;115;131
36;114;130
37;115;132
36;114;130
37;114;131
37;114;130
37;113;130
37;112;128
36;111;127
37;112;127
36;112;127
34;110;126
35;110;126
35;111;127
36;112;128
36;112;128
37;113;129
36;113;128
35;110;127
36;111;127
36;111;127
36;111;128
35;111;128
36;112;128
36;113;129
34;109;125
34;109;125
35;109;125
34;108;125
36;109;126
36;109;126
37;111;128
35;107;123
35;107;123
35;107;123
35;109;124
34;107;122
34;106;122
34;105;121
34;107;122
35;107;123
35;107;123
35;109;125
36;110;125
35;110;126
35;110;126
35;111;126
35;111;126
36;111;128
36;111;128
36;111;127
36;111;126
35;112;127
36;112;128
36;113;128
36;112;128
35;112;127
36;112;128
36;112;129
35;111;127
35;111;127
35;110;126
34;104;121
32;103;119
32;103;119
33;105;120
34;106;121
35;107;123
34;107;123
34;107;123
36;110;126
36;110;126
36;112;128
36;112;128
36;111;126
35;110;126
35;109;125
34;109;124
34;106;123
36;109;126
34;107;124
34;107;124
34;107;122
34;108;123
35;109;125
35;109;126
36;110;127
36;111;128
36;111;128
32;101;118
32;101;117
33;101;117
34;102;118
34;104;120
32;101;117
33;103;119
34;103;119
34;104;121
35;108;125
35;109;126
35;109;126
