R;G;B
39;121;37
38;121;36
38;118;37
38;117;37
39;115;35
37;114;35
35;106;33
34;104;32
31;95;30
31;92;30
29;90;28
28;84;27
27;82;26
25;77;25
25;76;24
24;72;23
23;72;23
23;69;23
22;66;21
21;65;21
22;64;21
21;63;20
21;64;20
21;65;21
23;67;22
23;69;23
23;69;23
24;72;23
24;73;23
24;74;24
25;74;24
24;74;24
25;75;23
25;76;24
25;76;25
25;76;25
25;75;24
25;74;24
24;74;24
23;71;22
24;71;23
22;70;21
22;70;21
23;71;22
25;74;24
23;73;22
24;72;23
23;71;22
23;70;23
24;70;23
22;70;22
24;71;22
23;71;23
24;73;23
25;75;23
24;73;23
24;73;24
24;72;23
25;73;24
24;73;23
25;76;24
25;78;25
26;79;25
26;79;25
26;79;25
25;78;24
25;78;25
26;79;24
26;79;25
27;83;26
27;84;27
28;85;27
28;88;26
28;89;27
28;88;28
30;90;28
29;90;28
29;90;28
29;90;28
29;92;28
30;94;29
30;94;29
31;96;30
31;96;30
31;97;30
31;98;29
32;99;30
31;99;29
35;106;33
35;109;33
36;112;33
39;121;36
37;120;35
40;122;37
41;128;38
41;127;38
41;127;39
43;130;39
43;130;38
42;131;38
42;132;39
43;132;40
43;132;40
44;133;38
42;132;38
41;132;37
41;132;37
41;130;37
41;130;37
44;132;40
44;133;40
42;132;38
42;131;38
42;131;38
41;128;38
42;128;38
42;128;38
41;129;38
41;129;39
42;129;38
41;130;37
41;129;37
41;128;37
42;128;38
42;128;38
42;129;38
41;131;37
41;131;37
41;131;37
45;134;40
44;133;39
44;133;38
41;130;38
41;130;38
41;129;38
42;130;38
42;130;38
42;131;38
44;133;39
44;134;39
44;134;39
42;133;38
42;132;38
42;131;38
43;128;40
43;129;39
43;131;38
41;131;38
41;130;38
40;128;38
41;127;38
39;126;36
39;126;36
40;127;38
43;131;38
44;132;39
43;134;38
41;132;37
41;130;38
41;130;38
42;128;39
42;128;39
42;128;39
42;132;39
43;132;39
43;133;40
44;133;40
44;135;38
43;133;37
42;133;37
41;131;38
42;130;39
42;129;39
43;130;40
42;130;37
42;130;37
41;131;37
42;132;40
43;131;39
43;132;40
43;131;39
42;131;38
43;131;38
42;131;38
41;131;38
41;131;38
42;129;39
42;128;38
41;128;38
42;128;38
41;127;39
42;128;40
42;128;39
43;133;38
42;131;37
41;130;36
40;125;36
39;125;36
39;124;36
41;128;38
40;128;37
42;129;39
41;128;39
42;128;39
44;130;40
43;129;39
43;131;39
42;130;38
42;130;37
41;129;36
42;130;36
39;127;37
40;126;37
40;126;38
42;129;38
42;130;38
41;128;38
42;128;38
42;129;39
42;129;38
41;128;37
40;127;36
41;129;38
40;128;37
42;130;38
40;127;36
41;128;37
40;127;37
39;126;36
41;128;38
41;128;38
41;127;37
41;130;37
41;130;37
42;130;38
41;129;37
42;129;38
42;129;39
41;128;37
41;128;38
42;128;37
42;129;37
38;126;34
38;126;34
37;124;35
38;123;36
41;124;40
41;124;39
42;125;39
42;125;39
40;126;36
41;127;36
41;127;36
41;128;37
41;128;37
42;128;37
43;130;38
42;129;38
42;130;38
43;130;38
42;129;37
43;130;39
40;126;36
39;126;36
39;126;36
39;126;35
41;127;37
40;126;36
41;127;37
40;127;37
41;128;38
41;128;37
40;126;36
39;126;35
41;126;35
41;126;36
41;126;36
38;123;35
39;123;35
39;123;35
39;124;36
40;124;37
40;123;37
40;124;37
40;124;38
40;123;35
41;123;36
39;119;36
39;118;35
39;118;36
39;118;36
39;118;36
36;114;34
36;113;33
36;112;33
36;110;33
36;112;33
35;111;32
37;114;34
37;115;34
38;116;34
38;118;34
37;118;33
36;115;33
37;116;34
37;116;34
36;115;33
35;107;33
34;105;32
34;105;32
33;102;31
30;95;28
30;94;28
29;92;27
29;92;27
29;89;28
29;88;27
28;87;27
28;88;27
28;88;27
29;88;28
28;87;27
29;88;28
28;86;27
29;87;27
28;87;27
29;88;28
29;88;28
30;89;29
29;89;28
30;90;28
30;92;28
30;93;29
30;93;28
31;96;30
32;97;30
32;98;30
32;99;31
34;100;31
33;100;30
33;100;31
33;100;31
34;104;31
34;105;32
35;107;32
35;107;32
37;116;34
37;117;35
37;118;35
38;118;35
38;117;35
38;117;35
38;118;36
38;117;35
38;118;35
38;117;35
38;118;36
39;118;35
39;118;35
39;121;35
38;120;34
38;120;34
39;122;35
39;122;36
39;120;36
38;118;35
38;116;35
38;116;35
37;115;35
37;115;35
37;115;35
37;117;35
38;119;35
43;131;39
42;131;39
42;131;39
41;124;37
41;124;37
40;123;36
40;123;36
39;121;35
39;121;35
39;121;35
38;121;35
38;121;35
38;121;35
39;123;35
40;124;36
40;124;36
39;124;35
39;124;35
41;128;37
41;127;36
41;128;37
41;128;37
42;128;38
40;126;37
40;125;37
40;124;37
39;122;36
39;122;36
38;120;35
38;120;35
37;118;35
37;118;35
38;119;36
38;119;36
38;119;35
38;119;35
39;121;35
39;122;36
39;122;36
40;124;36
39;124;37
40;125;37
40;126;37
40;127;37
40;127;37
40;127;36
40;128;37
39;127;36
39;125;36
38;124;35
39;123;36
39;122;36
39;122;36
37;119;35
37;118;35
37;117;35
37;117;35
37;116;35
37;116;35
37;117;34
36;116;34
37;117;35
36;116;34
36;116;34
37;117;34
37;117;34
37;117;34
36;117;34
37;118;35
37;118;35
37;119;34
37;121;35
38;122;35
38;122;35
38;122;35
38;123;35
38;123;35
39;124;35
39;125;35
39;125;35
40;126;36
40;126;35
40;127;36
40;127;36
40;127;35
40;127;35
41;128;36
41;128;36
41;128;36
40;128;36
40;128;36
41;128;36
41;128;36
41;128;36
40;128;37
41;128;38
40;129;37
40;129;37
40;129;38
41;130;38
40;130;38
41;130;38
