R;G;B
39;37;32
40;38;32
40;38;32
39;38;32
39;38;32
40;38;33
39;37;32
39;36;31
39;36;31
40;38;33
40;38;32
39;37;32
40;38;33
40;38;32
39;37;32
40;38;33
39;37;32
38;37;31
40;38;32
40;38;33
40;38;33
40;38;33
40;38;33
40;38;33
40;37;32
40;38;33
40;38;33
39;38;32
40;38;32
40;38;32
40;37;33
40;38;32
39;37;32
40;38;33
39;38;32
40;38;32
40;38;33
39;38;33
39;37;33
40;38;33
40;37;33
39;38;32
40;38;33
39;37;32
40;38;32
39;37;32
39;38;32
40;38;33
39;38;33
40;37;32
39;38;33
39;38;33
40;37;33
39;38;33
40;38;33
39;36;31
39;37;32
38;37;32
40;38;32
39;37;32
40;38;33
39;37;32
39;37;32
39;38;33
40;38;33
39;38;32
39;37;32
39;37;32
39;38;33
39;38;33
39;37;32
40;37;33
39;38;32
39;37;32
39;38;33
39;38;32
40;38;33
39;37;32
39;38;32
38;36;31
40;38;33
39;38;33
39;37;33
40;38;33
39;38;33
39;37;32
39;38;33
39;38;33
39;38;33
38;36;31
39;38;33
40;38;33
39;38;33
39;38;32
40;38;32
40;38;33
39;38;32
39;38;32
40;38;33
39;36;32
40;38;33
39;37;32
39;38;32
39;37;32
39;37;32
40;38;32
40;37;33
39;37;32
40;38;33
40;37;33
39;38;32
39;38;33
38;37;32
40;38;33
38;36;31
40;38;33
39;38;33
39;38;33
39;38;33
39;37;32
40;38;32
39;37;32
40;37;32
39;37;32
39;37;33
40;37;32
39;37;32
39;38;32
39;38;33
38;36;31
38;36;31
39;38;32
40;38;33
40;38;33
39;38;32
40;38;32
39;37;32
39;37;32
40;38;32
40;38;33
39;37;32
39;38;33
39;37;32
38;36;31
38;36;31
40;38;33
39;37;32
39;38;33
39;37;32
39;37;32
40;37;32
40;38;33
39;37;32
39;37;33
39;37;32
40;38;32
39;37;32
39;37;32
39;37;32
39;38;33
39;38;33
40;37;32
39;38;32
40;38;32
38;37;32
39;37;32
39;37;32
38;36;31
39;37;32
39;37;32
39;36;32
39;36;32
39;37;32
38;36;31
39;37;32
39;37;32
38;36;31
38;36;31
39;37;32
39;37;32
38;36;31
38;36;31
39;37;32
38;36;32
39;36;32
38;36;32
38;36;31
38;36;31
37;35;31
37;35;31
37;35;30
37;35;30
37;35;30
37;35;31
37;35;31
38;36;31
39;37;32
39;36;32
38;36;31
38;36;31
38;36;31
38;36;31
38;35;31
38;35;31
38;37;32
39;36;32
39;37;32
38;36;31
38;36;31
39;37;32
39;37;32
39;37;32
38;36;31
38;36;31
39;37;32
39;37;32
39;37;32
39;37;33
39;37;32
39;37;32
39;37;32
39;36;31
39;37;33
39;37;33
39;36;32
38;36;31
38;36;31
39;38;33
40;38;33
40;37;32
39;37;32
39;37;32
39;37;32
39;38;32
38;36;31
38;36;31
39;37;32
38;36;31
37;36;31
39;37;32
37;34;30
36;34;30
36;34;30
