R;G;B
50;16;13
50;16;11
51;17;11
52;16;11
51;16;12
51;17;11
52;18;12
52;18;11
51;17;11
52;17;12
52;17;12
52;17;11
52;18;11
53;19;12
54;18;11
55;19;11
55;20;12
55;20;12
56;21;13
57;20;14
57;19;14
55;17;14
53;17;11
54;17;12
54;17;11
54;16;11
54;17;12
54;16;13
54;16;13
54;17;13
52;16;12
52;16;11
51;16;11
52;17;11
52;16;10
53;16;11
53;16;11
53;17;11
53;18;12
53;18;12
53;19;12
54;20;12
55;20;13
53;17;13
53;17;13
53;17;13
53;18;13
56;20;14
56;19;14
55;18;14
54;17;13
55;18;14
55;18;13
56;18;13
56;17;14
56;17;15
53;16;14
52;19;12
53;18;12
54;18;15
52;17;13
53;16;15
54;17;15
54;15;13
54;16;13
54;17;14
55;17;13
55;17;12
55;17;13
56;18;13
56;18;13
56;18;13
57;18;14
55;18;13
56;18;13
57;18;15
57;17;16
56;17;15
53;17;12
53;18;12
53;18;13
52;18;12
53;19;13
55;17;13
55;17;13
56;18;14
56;18;15
56;16;16
56;16;16
56;16;16
57;17;15
56;17;14
56;16;15
57;17;15
58;17;15
55;16;13
57;17;14
56;18;13
55;17;14
54;17;13
53;17;13
52;16;13
54;18;14
54;17;13
56;18;13
57;20;13
58;20;13
57;18;11
53;14;8
54;15;9
54;16;10
56;18;14
56;19;14
57;20;15
57;19;15
58;20;16
57;20;15
57;20;15
58;20;15
58;20;14
58;21;14
57;20;13
57;20;13
56;19;12
57;19;13
57;19;13
56;18;13
55;16;14
56;17;14
55;17;14
55;18;13
55;19;13
55;18;13
54;18;12
52;18;12
53;18;13
57;19;15
57;19;14
57;20;14
55;18;12
56;17;14
58;20;15
57;20;14
54;17;13
53;16;13
55;18;14
54;17;14
54;17;13
54;18;12
54;17;12
55;16;14
56;17;14
56;19;14
55;18;14
55;17;13
55;18;14
57;19;15
58;19;16
57;19;16
54;16;15
54;17;15
53;16;14
55;17;13
56;18;14
55;17;13
55;17;13
55;16;13
55;17;12
55;16;15
56;17;15
57;18;15
56;19;13
53;19;13
54;19;14
54;17;14
55;16;14
56;18;13
54;17;13
51;16;12
52;15;13
52;15;14
52;17;11
51;16;13
51;17;13
50;15;11
49;14;13
50;16;13
50;17;11
49;15;11
52;17;12
52;18;12
51;17;11
51;16;13
55;18;12
55;18;12
54;18;12
56;18;14
56;18;14
56;18;14
54;17;14
55;18;13
53;16;11
54;18;12
54;17;14
54;17;14
55;19;15
56;19;15
51;16;11
51;15;11
52;14;11
52;15;12
53;16;12
55;18;13
53;17;12
