R;G;B
10;13;10
9;10;9
8;10;9
7;10;7
10;11;11
9;11;9
9;10;9
9;12;9
9;11;10
9;12;9
11;14;11
10;13;11
11;13;11
10;12;9
10;13;10
10;13;11
11;14;11
11;14;11
11;13;11
12;15;13
11;14;10
10;13;10
10;13;10
10;14;10
10;14;10
11;15;12
11;15;12
10;14;11
9;13;10
10;14;11
9;13;10
9;12;9
10;13;10
9;12;10
10;12;10
11;13;11
10;12;11
10;12;11
10;13;11
11;14;12
11;14;11
11;14;11
10;13;9
8;12;8
8;11;8
8;12;9
7;9;7
7;9;7
7;9;7
6;9;7
7;9;7
7;9;7
6;8;7
7;9;7
7;9;7
6;8;7
6;8;8
6;8;7
7;8;8
7;8;8
7;8;8
7;8;8
7;8;8
7;8;8
5;7;7
6;7;7
6;7;7
6;8;7
6;8;7
7;9;8
7;9;8
7;10;8
8;10;8
8;10;9
9;10;9
9;11;9
8;10;8
8;10;8
7;10;8
9;11;9
9;11;9
8;10;9
8;10;9
8;10;9
8;11;9
8;10;8
7;10;8
8;10;9
7;9;8
8;10;8
9;10;10
9;10;9
8;10;8
6;8;6
6;8;6
6;8;7
6;8;7
6;8;7
6;8;7
6;7;6
6;7;6
6;7;6
7;8;7
7;8;7
7;9;7
5;6;4
5;5;4
6;7;6
5;6;5
6;7;6
5;7;5
6;6;5
5;6;5
5;6;4
4;6;4
4;5;4
4;5;4
4;5;4
4;5;4
5;5;4
5;5;4
6;6;5
5;6;4
5;6;4
4;5;4
4;5;4
5;6;5
4;5;4
4;5;4
4;5;3
4;5;4
5;5;4
4;5;4
5;6;4
5;5;4
4;5;4
6;6;5
5;5;4
4;5;4
4;5;3
4;5;4
4;4;4
5;5;4
4;4;4
5;5;4
5;5;4
5;6;5
5;6;4
5;6;4
5;5;4
4;5;4
4;4;4
4;4;4
5;5;5
5;6;4
5;6;4
5;6;5
3;4;2
3;3;2
4;4;3
4;4;3
4;5;4
4;5;5
5;6;5
5;5;4
4;5;4
5;6;4
5;5;4
6;7;5
3;4;3
4;4;4
4;4;4
4;4;4
5;6;5
5;5;4
4;5;4
5;6;4
4;5;4
5;6;4
4;5;4
5;5;4
4;5;4
4;5;4
4;4;3
5;5;4
5;6;5
4;5;4
5;5;4
6;7;5
6;7;5
5;5;4
5;5;4
5;5;4
5;6;4
4;5;4
4;5;4
5;5;4
5;5;4
5;5;4
6;6;5
5;5;4
5;6;4
4;5;3
5;5;4
5;5;5
4;5;4
3;4;3
4;5;4
5;5;4
4;4;3
5;5;4
5;5;4
5;6;4
4;5;4
4;4;3
3;3;2
3;4;3
4;4;3
5;5;5
4;5;4
3;4;3
4;4;3
3;4;3
4;5;4
4;5;4
4;4;4
3;4;3
4;5;4
5;5;4
5;6;4
4;4;3
4;5;3
3;4;3
3;4;3
5;5;4
4;5;4
5;6;4
4;5;3
5;5;4
4;6;4
4;5;4
3;4;3
6;6;5
5;6;5
4;5;4
4;5;4
4;5;4
5;5;4
4;5;4
4;5;4
4;5;4
5;5;5
4;5;4
4;5;4
5;5;4
4;5;5
5;6;5
5;6;5
5;6;5
5;6;4
5;6;4
4;6;4
4;6;3
5;5;4
5;5;4
5;6;4
5;6;5
5;6;5
6;6;5
5;6;4
5;6;4
6;6;6
6;6;5
4;5;3
4;5;4
5;6;5
4;5;4
5;6;4
